id_uf,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
11,1999,5399619000,459312000,4940307000,939901000,511271000,3489135000,1700220000
11,2000,5946138000,609036000,5337102000,1004815000,630371000,3701916000,1729501000
11,2001,6548807000,674434000,5874373000,1037646000,768397000,4068330000,1948361000
11,2002,7779880000,808959000,6970921000,1374194000,968084000,4628642000,2213315000
11,2003,9750818000,1072814000,8678004000,2000012000,1059336000,5618657000,2371320000
11,2004,11260424000,1250517000,10009907000,2204929000,1268278000,6536700000,2710341000
11,2005,12884047000,1424696000,11459351000,2347090000,1597943000,7514318000,3151885000
11,2006,13107441000,1559826000,11547615000,2246374000,1641148000,7660093000,3588550000
11,2007,15002734000,1703421000,13299313000,2700279000,1948027000,8651007000,3834751000
11,2008,17887799000,1970807000,15916992000,3661634000,1979516000,10275842000,4435611000
11,2009,20236194000,2167419000,18068775000,4256641000,2226501000,11585632000,5062445000
11,2010,23560644000,2744109000,20816534000,4472190000,3046436000,13297908000,5888028000
11,2011,27839144000,3166116000,24673028000,4980026000,4692095000,15000907000,6735967000
11,2012,29361936000,3337889000,26024047000,5337130000,4749410000,15937507000,7414120000
12,1999,1866542000,103168000,1763374000,249796000,166998000,1346580000,658805000
12,2000,2154284000,135301000,2018983000,283470000,187591000,1547922000,715839000
12,2001,2475168000,171013000,2304155000,392131000,233487000,1678537000,811955000
12,2002,2868451000,219476000,2648975000,450165000,279628000,1919182000,954263000
12,2003,3304771000,263370000,3041401000,599111000,282640000,2159650000,1082736000
12,2004,3940315000,314633000,3625682000,665914000,526298000,2433471000,1202185000
12,2005,4482920000,375178000,4107741000,822202000,473332000,2812208000,1372859000
12,2006,4834620000,446780000,4387840000,738960000,567475000,3081405000,1570913000
12,2007,5760501000,484604000,5275897000,906313000,773489000,3596095000,1809485000
12,2008,6730108000,537262000,6192846000,1149835000,770316000,4272696000,2068892000
12,2009,7386436000,589844000,6796593000,1172218000,862278000,4762097000,2279196000
12,2010,8476515000,733363000,7743152000,1462779000,1105049000,5175323000,2584582000
12,2011,8794362000,743191000,8051170000,1421035000,1082122000,5548013000,2840953000
12,2012,9629239000,948339000,8680900000,1586726000,1030684000,6063489000,3140471000
13,1999,13933920000,1929649000,12004271000,455322000,4430964000,7117985000,2126303000
13,2000,16749755000,2433014000,14316741000,481364000,5686456000,8148921000,2341157000
13,2001,18050363000,2968873000,15081490000,546281000,6585718000,7949491000,2681039000
13,2002,21791162000,3619571000,18171590000,1311385000,8034241000,8825964000,3129639000
13,2003,24977170000,3996495000,20980675000,1267561000,9449865000,10263249000,3535225000
13,2004,30313735000,5396273000,24917462000,1168587000,11629078000,12119797000,3936561000
13,2005,33352137000,5508053000,27844084000,1459262000,12322607000,14062215000,4655922000
13,2006,39156902000,6180416000,32976486000,1646781000,15066528000,16263177000,5593682000
13,2007,42023218000,7049028000,34974190000,1679047000,14850159000,18444984000,5885861000
13,2008,46822569000,8824677000,37997892000,2053038000,15715005000,20229848000,6756329000
13,2009,49614251000,7895531000,41718720000,2143601000,17316924000,22258194000,7420061000
13,2010,59779292000,9793849000,49985442000,3103964000,21925043000,24956436000,8755734000
13,2011,64555404000,10657149000,53898254000,3700132000,22487428000,27710694000,9515064000
13,2012,64119836000,11542838000,52576998000,3876417000,19304046000,29396535000,9862859000
14,1999,1569597000,91761000,1477835000,115768000,196020000,1166047000,683578000
14,2000,1776656000,133104000,1643551000,165021000,169794000,1308737000,774934000
14,2001,2033140000,152013000,1881127000,199147000,195928000,1486052000,885136000
14,2002,2312646000,166139000,2146508000,212492000,254544000,1679471000,986806000
14,2003,2737003000,180434000,2556570000,277024000,377320000,1902225000,1105700000
14,2004,2811079000,198177000,2612902000,286949000,270137000,2055816000,1218905000
14,2005,3179287000,233090000,2946197000,225736000,325520000,2394940000,1426408000
14,2006,3660083000,278058000,3382025000,259185000,367921000,2754919000,1624355000
14,2007,4168599000,340548000,3828051000,256656000,439726000,3131669000,1853036000
14,2008,4889301000,386693000,4502608000,290219000,573846000,3638543000,2130857000
14,2009,5593491000,440353000,5153138000,291152000,654586000,4207399000,2461754000
14,2010,6340601000,522326000,5818275000,275776000,757790000,4784709000,2893419000
14,2011,6951190000,542774000,6408416000,290040000,729215000,5389161000,3162774000
14,2012,7313836000,600121000,6713715000,316813000,752215000,5644687000,3400779000
15,1999,16503979000,1244034000,15259944000,1817574000,3935955000,9506415000,2822334000
15,2000,19050189000,1538022000,17512167000,1964412000,4889652000,10658103000,3079608000
15,2001,22321459000,2012885000,20308574000,2373002000,5984528000,11951043000,3717453000
15,2002,25659111000,2460395000,23198716000,2902294000,6957467000,13338954000,4362752000
15,2003,29754565000,2958323000,26796242000,3163275000,8344524000,15288443000,5035840000
15,2004,35562846000,3236874000,32325972000,2923189000,10810858000,18591924000,5600684000
15,2005,39121138000,3858310000,35262828000,3157179000,11696579000,20409070000,6312103000
15,2006,44369675000,4541245000,39828430000,3663627000,13278803000,22886000000,6852049000
15,2007,49507144000,5046663000,44460481000,3804180000,13779837000,26876464000,8161727000
15,2008,58518557000,5741112000,52777444000,3737161000,19154643000,29885641000,9318456000
15,2009,58401830000,5935721000,52466108000,3862129000,15312866000,33291113000,10782899000
15,2010,77847597000,6804139000,71043457000,4676290000,29408404000,36958764000,12526374000
15,2011,88370610000,7548591000,80822019000,4895408000,34342998000,41583612000,13856741000
15,2012,91009014000,9284769000,81724244000,5899395000,30698374000,45126475000,15328359000
16,1999,2128307000,98303000,2030004000,74318000,270025000,1685662000,949121000
16,2000,2357036000,125588000,2231447000,81714000,293187000,1856546000,972968000
16,2001,2801923000,153535000,2648388000,107517000,344544000,2196327000,1124879000
16,2002,3291534000,191903000,3099632000,129996000,398269000,2571367000,1289544000
16,2003,3434107000,212251000,3221856000,96136000,428034000,2697685000,1392166000
16,2004,3846126000,251269000,3594857000,116770000,377406000,3100681000,1622166000
16,2005,4361255000,303606000,4057649000,130061000,462476000,3465112000,1862270000
16,2006,5260017000,362200000,4897817000,184622000,460470000,4252724000,2227540000
16,2007,6022132000,400855000,5621276000,240129000,556780000,4824367000,2516494000
16,2008,6764834000,446355000,6318479000,239431000,594659000,5484390000,2917501000
16,2009,7404389000,505414000,6898975000,223935000,635074000,6039966000,3182050000
16,2010,8265965000,588604000,7677361000,246395000,764616000,6666350000,3695132000
16,2011,8968032000,618034000,8349998000,274026000,676951000,7399020000,4067708000
16,2012,10419539000,833085000,9586454000,311252000,1038334000,8236868000,4531375000
17,1999,3015695000,263397000,2752298000,799136000,115010000,1838152000,740599000
17,2000,3671728000,330786000,3340942000,720563000,423022000,2197357000,825361000
17,2001,4843260000,420300000,4422960000,936507000,1011290000,2475163000,985211000
17,2002,5607173000,526033000,5081140000,1047443000,1184127000,2849570000,1135470000
17,2003,7241147000,683132000,6558015000,1823637000,1342092000,3392286000,1343453000
17,2004,8277816000,724435000,7553380000,1790479000,1917191000,3845711000,1536478000
17,2005,9060926000,850678000,8210248000,1803409000,2256480000,4150359000,1760433000
17,2006,9604690000,927194000,8677496000,1606814000,2085867000,4984815000,2131843000
17,2007,11094063000,1011999000,10082064000,1796061000,2430474000,5855530000,2474661000
17,2008,13090266000,1194266000,11896000000,2474273000,2805409000,6616318000,2829501000
17,2009,14571366000,1203011000,13368355000,2758847000,3046883000,7562625000,3262474000
17,2010,17240135000,1459667000,15780468000,2859956000,4002272000,8918240000,4014058000
17,2011,18059159000,1603622000,16455537000,2816619000,3532099000,10106819000,4812080000
17,2012,19529689000,1853772000,17675917000,2885688000,3398492000,11391737000,5195401000
21,1999,10308256000,697833000,9610423000,1522079000,1600002000,6488341000,1991749000
21,2000,11908912000,895130000,11013782000,1720430000,1795887000,7497464000,2203351000
21,2001,13419648000,1129166000,12290482000,2038728000,1964131000,8287624000,2506353000
21,2002,15448774000,1302497000,14146277000,2289955000,2365909000,9490413000,3001207000
21,2003,18483300000,1413621000,17069679000,3015664000,3190001000,10864013000,3508024000
21,2004,21604577000,1912515000,19692062000,3576759000,3421951000,12693352000,3838480000
21,2005,25334591000,2464756000,22869835000,4065451000,3929361000,14875023000,4369048000
21,2006,28620246000,2914969000,25705277000,4277157000,5031801000,16396319000,5126434000
21,2007,31606026000,3285400000,28320627000,5270864000,5058847000,17990915000,5849930000
21,2008,38486010000,3866929000,34619080000,7681175000,5838417000,21099488000,6783918000
21,2009,39854677000,3787957000,36066720000,5982495000,5536844000,24547381000,8280234000
21,2010,45255942000,4802313000,40453629000,6969107000,6350799000,27133723000,9586832000
21,2011,52187204000,5642351000,46544853000,8165571000,8156376000,30222906000,10286430000
21,2012,58819683000,6826591000,51993092000,7789169000,8619371000,35584552000,11142446000
22,1999,5381139000,488052000,4893087000,520459000,708585000,3664043000,1319930000
22,2000,6062726000,573987000,5488739000,609210000,792709000,4086820000,1341233000
22,2001,6472659000,641404000,5831255000,668592000,887703000,4274960000,1513210000
22,2002,7425109000,778770000,6646339000,625104000,1024386000,4996849000,1864639000
22,2003,8777044000,870998000,7906046000,1060094000,1219087000,5626865000,2131364000
22,2004,9816735000,989606000,8827129000,1120038000,1475758000,6231333000,2338043000
22,2005,11129201000,1164687000,9964514000,1135817000,1698651000,7130046000,2638453000
22,2006,12788465000,1403352000,11385112000,1082188000,1928757000,8374167000,3019469000
22,2007,14135870000,1533235000,12602634000,1035351000,2134231000,9433052000,3811162000
22,2008,16760272000,1803729000,14956543000,1630145000,2421446000,10904952000,4232502000
22,2009,19032665000,2026924000,17005741000,1727118000,2887643000,12390980000,4877837000
22,2010,22060161000,2449508000,19610653000,1215522000,3621610000,14773521000,5711574000
22,2011,24606833000,2632102000,21974731000,1625616000,4046891000,16302224000,6389229000
22,2012,25720626000,3033770000,22686856000,951968000,4230231000,17504657000,6592662000
23,1999,20733662000,2364789000,18368872000,1337057000,4505791000,12526024000,3384625000
23,2000,22607131000,2652615000,19954517000,1535123000,4820515000,13598879000,3825524000
23,2001,24532733000,3039621000,21493111000,1429559000,4854386000,15209166000,4447508000
23,2002,28896188000,3504988000,25391200000,1814515000,5756138000,17820547000,5321616000
23,2003,32565454000,3897618000,28667835000,2404289000,6237904000,20025642000,5965117000
23,2004,36866273000,4451230000,32415043000,2294326000,8145808000,21974909000,6381174000
23,2005,40935248000,4699485000,36235762000,2179033000,8357916000,25698813000,7360460000
23,2006,46303058000,5713097000,40589960000,2946775000,9547470000,28095715000,8584179000
23,2007,50331383000,6162168000,44169215000,2735644000,10409022000,31024550000,9417168000
23,2008,60098877000,7365464000,52733414000,3721453000,12449487000,36562473000,11677499000
23,2009,65703761000,7692201000,58011560000,2961194000,14220237000,40830130000,13234874000
23,2010,77865415000,9601793000,68263622000,2837126000,16186732000,49239763000,15485727000
23,2011,87982450000,10506292000,77476158000,3638856000,17217373000,56619929000,17018764000
23,2012,90131724000,12022376000,78109349000,2638796000,17843171000,57627381000,17395504000
24,1999,8117167000,877517000,7239649000,255648000,1654609000,5329392000,2003348000
24,2000,9119808000,1027773000,8092036000,224024000,2129383000,5738628000,2079090000
24,2001,10343396000,1468622000,8874774000,219094000,2266408000,6389273000,2482362000
24,2002,12197554000,1421538000,10776016000,734170000,2690985000,7350861000,2852191000
24,2003,13515095000,1608032000,11907063000,954400000,2708543000,8244120000,3110792000
24,2004,15580455000,1872921000,13707534000,980184000,3526147000,9201203000,3466106000
24,2005,17869516000,2114010000,15755506000,883475000,4101846000,10770185000,4076998000
24,2006,20554621000,2514547000,18040075000,1147321000,4595642000,12297111000,4657187000
24,2007,22925563000,2687321000,20238242000,1026926000,4869164000,14342152000,5562983000
24,2008,25481449000,3076470000,22404979000,1020814000,5690439000,15693726000,6200105000
24,2009,27904989000,3204870000,24700119000,1305094000,4921149000,18473875000,7022009000
24,2010,32338895000,3796126000,28542769000,1205095000,6128141000,21209532000,8094392000
24,2011,36103202000,4223064000,31880138000,1193769000,7540291000,23146077000,9036455000
24,2012,39543679000,4855510000,34688168000,1178666000,8283582000,25225920000,9591819000
25,1999,8397432000,887946000,7509486000,584751000,1432522000,5492213000,2243668000
25,2000,9337554000,1013233000,8324321000,743641000,1638921000,5941759000,2383738000
25,2001,10848545000,1231325000,9617220000,829515000,2071642000,6716064000,2767175000
25,2002,12433902000,1307322000,11126581000,843591000,2629107000,7653882000,3163281000
25,2003,14157834000,1454537000,12703297000,1159019000,3008339000,8535939000,3597268000
25,2004,15022399000,1562603000,13459796000,1089239000,3145261000,9225296000,4028252000
25,2005,16868638000,1807084000,15061554000,1072171000,3392177000,10597206000,4714056000
25,2006,19951315000,2076220000,17875094000,1286153000,3930891000,12658050000,5476160000
25,2007,22201750000,2267166000,19934584000,1118235000,4463768000,14352581000,6100481000
25,2008,25696641000,2606053000,23090588000,1409185000,4952322000,16729081000,7231989000
25,2009,28718598000,2792298000,25926301000,1474550000,5731777000,18719973000,8107953000
25,2010,31947059000,3385922000,28561137000,1212255000,6433429000,20915453000,9539953000
25,2011,35443832000,3725403000,31718429000,1427135000,6817302000,23473992000,10246422000
25,2012,38731149000,4389007000,34342142000,1234315000,7813905000,25293922000,10878360000
26,1999,24878854000,2951589000,21927265000,817272000,4934080000,16175913000,5163663000
26,2000,26959112000,3283584000,23675528000,1033672000,5162854000,17479003000,5518004000
26,2001,30244981000,3781901000,26463080000,1169795000,5853879000,19439406000,6331316000
26,2002,35251387000,4646402000,30604986000,1500902000,6627801000,22476283000,7189461000
26,2003,39308429000,5037948000,34270481000,1896293000,7891848000,24482339000,7797724000
26,2004,44010905000,5856735000,38154170000,1951748000,8730242000,27472180000,8544270000
26,2005,49921744000,6985438000,42936307000,2201204000,9489982000,31245120000,9961455000
26,2006,55493342000,7842739000,47650604000,2474146000,10304899000,34871559000,11269401000
26,2007,62255687000,8942468000,53313219000,2543474000,11702213000,39067532000,12535399000
26,2008,70440859000,10331113000,60109746000,3234188000,13105527000,43770030000,14549930000
26,2009,78428308000,11101868000,67326440000,3245766000,14795213000,49285461000,16597461000
26,2010,95186714000,13557400000,81629314000,3662009000,18076555000,59890750000,19608100000
26,2011,104393980000,15888028000,88505953000,3053874000,21231478000,64220600000,21206238000
26,2012,117340092000,18065292000,99274799000,2676417000,24941381000,71657001000,22931331000
27,1999,6935080000,601140000,6333940000,789480000,1533483000,4010977000,1467963000
27,2000,7768754000,716566000,7052188000,1074036000,1541256000,4436896000,1597863000
27,2001,8488140000,791925000,7696215000,1246323000,1656361000,4793531000,1843597000
27,2002,9812401000,901498000,8910903000,1066974000,2301074000,5542856000,2149323000
27,2003,11209511000,1068461000,10141050000,1061548000,2746051000,6333451000,2410677000
27,2004,12890511000,1237769000,11652743000,1097791000,3292308000,7262644000,2657570000
27,2005,14139346000,1388281000,12751065000,1091667000,3455057000,8204341000,3034825000
27,2006,15748037000,1636268000,14111769000,1141818000,3665916000,9304035000,3496051000
27,2007,17793227000,1825094000,15968133000,1090037000,3915472000,10962624000,4034957000
27,2008,19476861000,2033764000,17443097000,1376139000,4041188000,12025770000,4742548000
27,2009,21234951000,2151166000,19083785000,1430243000,3925469000,13728073000,5300915000
